series_id,quarter,value,n_months,yoy,qoq
OSAT_COMPOSITE,2021Q4,354.6530376000511,3,,0.06646046361942992
OSAT_COMPOSITE,2022Q1,317.53288075133696,3,0.15950965962860097,-0.1046661184686517
OSAT_COMPOSITE,2022Q2,350.3333624797287,3,0.19370501927531025,0.10329790619094381
OSAT_COMPOSITE,2022Q3,353.8107505650314,3,0.06392766190441757,0.009925940426253055
OSAT_COMPOSITE,2022Q4,325.1900265969668,3,-0.08307559185862745,-0.08089274823435322
OSAT_COMPOSITE,2023Q1,263.3192059172537,3,-0.17073405029993882,-0.1902605111453629
OSAT_COMPOSITE,2023Q2,281.653052162913,3,-0.19604273435645092,0.06962593625404057
OSAT_COMPOSITE,2023Q3,307.00210405216734,3,-0.1322985421955416,0.09000098417038283
OSAT_COMPOSITE,2023Q4,315.70444612671076,3,-0.02916934621126077,0.028346196849076577
OSAT_COMPOSITE,2024Q1,284.24460182109027,3,0.07946779206987364,-0.09964967136697789
OSAT_COMPOSITE,2024Q2,288.60079402862686,3,0.024667731495752188,0.0153255054964192
OSAT_COMPOSITE,2024Q3,304.1828234820603,3,-0.009183261394286601,0.053991637500095946
OSAT_COMPOSITE,2024Q4,298.7633111674786,3,-0.05366137590736586,-0.017816628343912178
OSAT_COMPOSITE,2025Q1,278.8759607938378,3,-0.018887398363440555,-0.06656557090603565
OSAT_COMPOSITE,2025Q2,301.2710537496027,3,0.04390237304655176,0.08030485270948362
OSAT_COMPOSITE,2025Q3,334.196569261527,3,0.09867008740300154,0.10928867908859874
OSAT_COMPOSITE,2025Q4,355.51833578177667,3,0.18996651360073713,0.06380007600725635
OSAT_COMPOSITE,2026Q1,354.4732821212822,3,0.2710786584553644,-0.00293952113101692
OSAT_COMPOSITE,2026Q2,386.80021094391753,3,0.2838943739527038,0.09119708156614958
PTI,2021Q1,18429233.0,3,,
PTI,2021Q2,20620854.0,3,,0.11892090137446298
PTI,2021Q3,22320480.0,3,,0.08242267754769039
PTI,2021Q4,22423005.0,3,,0.004593315197522596
PTI,2022Q1,20830631.0,3,0.13030374080136697,-0.07101519176399418
PTI,2022Q2,23263343.0,3,0.12814643855196306,0.11678532445800616
PTI,2022Q3,21430133.0,3,-0.039889240733174236,-0.07880251776367653
PTI,2022Q4,18402628.0,3,-0.17929697647572218,-0.1412732716124534
PTI,2023Q1,15740524.0,3,-0.2443568320133941,-0.14465890415216787
PTI,2023Q2,17217598.0,3,-0.2598828981715998,0.09383893445986935
PTI,2023Q3,18448971.0,3,-0.1391107558688507,0.07151828030832186
PTI,2023Q4,19033852.0,3,0.034300753131563555,0.031702635339390994
PTI,2024Q1,18328881.0,3,0.16443906187621193,-0.03703774727259623
PTI,2024Q2,19586480.0,3,0.13758492909405828,0.06861297206305172
PTI,2024Q3,18302252.0,3,-0.007952692862924438,-0.06556706462825379
PTI,2024Q4,17097429.0,3,-0.10173573904010602,-0.06582922145318515
PTI,2025Q1,15493936.0,3,-0.1546709261738346,-0.09378562121825451
PTI,2025Q2,18060026.0,3,-0.0779340647221961,0.16561898797051966
PTI,2025Q3,19968323.0,3,0.09103092887148523,0.10566413359537807
PTI,2025Q4,21407035.0,3,0.2520616403787961,0.07204971594259568
PTI,2026Q1,21314167.0,3,0.3756457364997505,-0.004338200035642448
PTI,2026Q2,23115832.0,3,0.2799445582193514,0.0845289895682999
TSMC,2021Q1,362410230.0,3,,
TSMC,2021Q2,372145122.0,3,,0.02686152650823348
TSMC,2021Q3,414670379.0,3,,0.11427062854259318
TSMC,2021Q4,438189306.0,3,,0.05671716184965314
TSMC,2022Q1,491075873.0,3,0.3550276243581756,0.12069342239949599
TSMC,2022Q2,534140808.0,3,0.43530245708823245,0.08769507395448839
TSMC,2022Q3,613142743.0,3,0.4786268179526756,0.14790469819336471
TSMC,2022Q4,625531868.0,3,0.42753796004323297,0.020205939222867064
TSMC,2023Q1,508632973.0,3,0.03575231642463517,-0.1868791998939373
TSMC,2023Q2,480841254.0,3,-0.09978558687468797,-0.054640026257204544
TSMC,2023Q3,546732758.0,3,-0.10831080650986358,0.13703379951671124
TSMC,2023Q4,625528856.0,3,-4.815102401800608e-06,0.14412177951115202
TSMC,2024Q1,592644201.0,3,0.16517062884163436,-0.052570964048379576
TSMC,2024Q2,673510177.0,3,0.40069133294457293,0.13644945122815777
TSMC,2024Q3,759692143.0,3,0.3895127589922096,0.12795941166602454
TSMC,2024Q4,868461178.0,3,0.38836309415596326,0.143175147988861
TSMC,2025Q1,839253664.0,3,0.416117229501078,-0.033631340974000334
TSMC,2025Q2,933791869.0,3,0.3864554699965581,0.11264556719290053
TSMC,2025Q3,989918318.0,3,0.30305193639471395,0.06010595172573718
TSMC,2025Q4,1046090421.0,3,0.20453331421108145,0.056744179775851
TSMC,2026Q1,1134103440.0,3,0.351323787607557,0.08413519255425816
TSMC,2026Q2,1270380250.0,3,0.3604533217455119,0.12016259292891318
